id,name,metropolis,street,houseNumber,postalCode,city,state,country,stationCategory,owner,organisationalUnit,countryCode,latitude,longitude,timeZone
5994,Steinfeld (b Stendal),{},Landesstr.,15,39628,Steinfeld ( Altmark),Sachsen-Anhalt,DE,CATEGORY_7,DB S&S,RB Südost,DE,52.614734,11.728617,Europe/Berlin
5995,Steinfeld (Oldb),{},Industrie-Str.,1,49439,Steinfeld ,Niedersachsen,DE,CATEGORY_6,DB S&S,RB Nord,DE,52.592797,8.198151,Europe/Berlin
5996,Steinhagen (Westf),{},Am Bahnhof,1,33803,Steinhagen,Nordrhein-Westfalen,DE,CATEGORY_6,DB S&S,RB West,DE,52.017419,8.420787,Europe/Berlin
5997,Steinhausen-Neuburg,{},B105/Hauptstraße,1,23974,Neuburg Steinhausen,Mecklenburg-Vorpommern,DE,CATEGORY_7,DB S&S,RB Ost,DE,53.942319,11.596334,Europe/Berlin
5998,Steinheim/Main,{},In den Güntergärten,201,63456,Hanau,Hessen,DE,CATEGORY_5,DB S&S,RB Mitte,DE,50.121369,8.906852,Europe/Berlin
5999,Steinheim (Westf),{},Bahnhofstr.,1,32839,Steinheim,Nordrhein-Westfalen,DE,CATEGORY_6,DB S&S,RB West,DE,51.868177,9.088447,Europe/Berlin
6,Achern,{},Eisenbahnstr.,40,77855,Achern,Baden-Württemberg,DE,CATEGORY_4,DB S&S,RB Südwest,DE,48.63399,8.065324,Europe/Berlin
60,Allensbach,{},Konstanzer Str.,14,78476,Allensbach,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,47.714464,9.068852,Europe/Berlin
6000,Steinhöring,{},Bahnhofstraße,30,85643,Steinhöring,Bayern,DE,CATEGORY_6,DB Regio-Netze,Südostbayernbahn (SOB),DE,,,Europe/Berlin
6004,Steinpleis,{},Bahnhofstr.,23,08412,Werdau,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,50.708976,12.394074,Europe/Berlin
6005,Steinsfurt,{},Ansbach Str.,33,74889,Sinsheim,Baden-Württemberg,DE,CATEGORY_6,DB S&S,RB Südwest,DE,49.235822,8.907978,Europe/Berlin
6006,Steintorbrücke,{},Julius-Kühn-Str.,1,06112,Halle,Sachsen-Anhalt,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.490201,11.986895,Europe/Berlin
6007,Steinwenden,{},Bahnhofstr.,2,66879,Steinwenden,Rheinland-Pfalz,DE,CATEGORY_7,DB S&S,RB Mitte,DE,49.4541216,7.5241971,Europe/Berlin
6008,Stelle,{},Uhlenhorst,18,21435,Stelle,Niedersachsen,DE,CATEGORY_5,DB S&S,RB Nord,DE,53.387699,10.109023,Europe/Berlin
6010,Stendal Hbf,{},Bahnhofstr.,34,39576,Stendal,Sachsen-Anhalt,DE,CATEGORY_3,DB S&S,RB Südost,DE,52.594723,11.854412,Europe/Berlin
6012,Stendal Vorbf,{},Tangermünder Straße,,39576,Stendal,Sachsen-Anhalt,DE,CATEGORY_7,DB S&S,RB Südost,DE,52.595836,11.87129,Europe/Berlin
6013,Stendal-Stadtsee,{},Körnerstraße,1,39576,Stendal,Sachsen-Anhalt,DE,CATEGORY_5,DB S&S,RB Südost,DE,52.606837,11.836728,Europe/Berlin
6014,Nünchritz,{},Wiesentorstr.,,01612,Nünchritz,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.302649,13.39197,Europe/Berlin
6015,Stenn,{},Bahnhofstr.,10,08115,Lichtentanne,Sachsen,DE,CATEGORY_7,DB S&S,RB Südost,DE,50.678758,12.441635,Europe/Berlin
6017,Sterbfritz,{},Bahnhofstraße,6,36391,Sinntal,Hessen,DE,CATEGORY_7,DB S&S,RB Mitte,DE,50.312868,9.625417,Europe/Berlin
602,Beuggen,{},Kastanienweg,1,79618,Rheinfelden (Baden),Baden-Württemberg,DE,CATEGORY_6,DB S&S,RB Südwest,DE,47.581906,7.810915,Europe/Berlin
6021,Sternfeld,{},Am Bahnhof,34,17111,Hohenmocker,Mecklenburg-Vorpommern,DE,CATEGORY_6,DB S&S,RB Ost,DE,53.824775,13.15042,Europe/Berlin
6022,Sterzhausen,{},Obere Bahnhofsstraße,,35094,Lahntal,Hessen,DE,CATEGORY_6,DB Regio-Netze,Kurhessenbahn (KHB),DE,,,Europe/Berlin
6023,Stetten (Donau),{},Eisenbahnstraße,3,78570,Mühlheim ,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.022814,8.872354,Europe/Berlin
6024,Stetten (Schwab),{},Bahnhofstr.,2,87778,Stetten ,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,48.027663,10.43604,Europe/Berlin
6026,Stetten-Beinstein,{},Liedhornstraße,18,71384,Weinstadt,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.811924,9.35245,Europe/Berlin
6028,Stift Keppel-Allenbach,{},Lindenstraße,15,57271,Hilchenbach,Nordrhein-Westfalen,DE,CATEGORY_7,DB S&S,RB West,DE,50.977961,8.09223,Europe/Berlin
6029,Stockau,{},Stockauer Straße,,95466,Weidenberg,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,49.919576,11.666718,Europe/Berlin
603,Beuna (Geiseltal),{},Naumburger Str.,30,06217,Beuna (Geiseltal),Sachsen-Anhalt,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.3228096,11.9627622,Europe/Berlin
6030,Stockdorf,{},Bahnstr.,,82131,Gauting,Bayern,DE,CATEGORY_4,DB S&S,RB Süd,DE,48.093258,11.400845,Europe/Berlin
6031,Stockhausen (Lahn),{},Bahnhofstr.,17,35638,Leun,Hessen,DE,CATEGORY_6,DB S&S,RB Mitte,DE,50.540536,8.325365,Europe/Berlin
6032,Stockheim (Oberfr),{},Kronacher Str.,2,96342,Stockheim (Oberfr),Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,50.306822,11.282133,Europe/Berlin
6033,Glauburg-Stockheim,{},Bahnhofstraße,61,63695,Glauburg,Hessen,DE,CATEGORY_5,DB S&S,RB Mitte,DE,50.327056,9.010123,Europe/Berlin
6034,Stockstadt (Main),{},Bahnhofstr.,1a,63811,Stockstadt (Main),Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,49.976627,9.063369,Europe/Berlin
6035,Stockstadt (Rhein),{},Lindenstr.,1,64589,Stockstadt,Hessen,DE,CATEGORY_6,DB S&S,RB Mitte,DE,49.809433,8.47244,Europe/Berlin
6037,Stolberg (Rheinl) Hbf,{},Gustav-Wassillikowitsch-Platz,1,52222,Stolberg (Rheinl),Nordrhein-Westfalen,DE,CATEGORY_4,DB S&S,RB West,DE,50.79448,6.217478,Europe/Berlin
6038,Stollberg (Sachs),{},Bahnhofstr.,3,09366,Stollberg ,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,50.70931,12.773549,Europe/Berlin
6039,Stolpen,{},Bahnhofstr.,33,01833,Stolpen,Sachsen,DE,CATEGORY_7,DB S&S,RB Südost,DE,51.037051,14.08725,Europe/Berlin
604,Beuren,{},Burgstr.,3,37327,Leinefelde-Worbis,Thüringen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.377127,10.279034,Europe/Berlin
6040,Stommeln,{},Bahnhofstr.,,50259,Pulheim-Stommeln,Nordrhein-Westfalen,DE,CATEGORY_5,DB S&S,RB West,DE,51.018092,6.752466,Europe/Berlin
6041,Storkow (Mark),{},Bahnhofstr.,2,15859,Storkow (Mark),Brandenburg,DE,CATEGORY_6,DB S&S,RB Ost,DE,52.251632,13.9209,Europe/Berlin
6042,Storkower Straße,{},Storkower Str.,207,10369,Berlin,Berlin,DE,CATEGORY_4,DB S&S,RB Ost,DE,52.52391,13.464398,Europe/Berlin
6045,Storzingen,{},Bahnhofstr.,8,72510,Stetten am kalten Markt,Baden-Württemberg,DE,CATEGORY_6,DB S&S,RB Südwest,DE,48.134881,9.127085,Europe/Berlin
6047,Stotternheim,{},Haselnussallee,1,99195,Erfurt,Thüringen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.052351,11.048324,Europe/Berlin
6048,Euskirchen-Stotzheim,{},Adolf-Halstrick-Str.,1,53881,Euskirchen,Nordrhein-Westfalen,DE,CATEGORY_6,DB S&S,RB West,DE,50.6341994,6.8110621,Europe/Berlin
6049,Stralsund Hbf,{},Tribseer Damm,75,18437,Stralsund,Mecklenburg-Vorpommern,DE,CATEGORY_3,DB S&S,RB Ost,DE,54.308626,13.077321,Europe/Berlin
605,Beuron,{},Wolterstr.,16,88631,Beuron,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.048791,8.97189,Europe/Berlin
6050,Stralsund Rügendamm,{},Platz des 17. Juni,,18439,Stralsund,Mecklenburg-Vorpommern,DE,CATEGORY_6,DB S&S,RB Ost,DE,54.305322,13.107522,Europe/Berlin
6051,Strasburg (Uckerm),{},Am Bahnhof,1,17335,Strasburg (Uckerm),Mecklenburg-Vorpommern,DE,CATEGORY_6,DB S&S,RB Ost,DE,53.515101,13.745272,Europe/Berlin
6052,Straß-Moos,{},Bahnhofstrasse,7,86666,Burgheim,Bayern,DE,CATEGORY_7,DB S&S,RB Süd,DE,48.711321,11.050315,Europe/Berlin
6053,Straßberg-Winterlingen,{},Bahnhofstraße,23,72474,Straßberg,Baden-Württemberg,DE,CATEGORY_7,DB S&S,RB Südwest,DE,48.178747,9.087718,Europe/Berlin
6055,Straßkirchen,{},Bahnhofstr.,7,94342,Straßkirchen,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,48.833615,12.720746,Europe/Berlin
6056,Straubing,{},Bahnhofsplatz,6,94315,Straubing,Bayern,DE,CATEGORY_3,DB S&S,RB Süd,DE,48.876978,12.574094,Europe/Berlin
6057,Straubing Ost,{},Amselstr.,64,94315,Straubing,Bayern,DE,CATEGORY_7,DB S&S,RB Süd,DE,48.876407,12.592248,Europe/Berlin
6058,Strausberg,{},Bahnhofstr.,26,15344,Strausberg,Brandenburg,DE,CATEGORY_4,DB S&S,RB Ost,DE,52.5320832,13.8334984,Europe/Berlin
6059,Strausberg Nord,{},Prötzeler Chaussee,,15344,Strausberg,Brandenburg,DE,CATEGORY_5,DB S&S,RB Ost,DE,52.590146,13.908476,Europe/Berlin
606,Beutelsbach,{},Oberlinstr.,1,71384,Weinstadt,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,48.810293,9.386029,Europe/Berlin
6060,Strausberg Stadt,{},Hohensteiner Chaussee/J.-Z.-Ring,,15344,Strausberg,Brandenburg,DE,CATEGORY_5,DB S&S,RB Ost,DE,52.57698,13.888133,Europe/Berlin
