id,name,availableTransports,transportAssociations,countryCode,state,timeZone,latitude,longitude
2933,Hoykenkamp,"['BUS', 'CITY_TRAIN']","['VBN', 'IAM']",DE,NI,Europe/Berlin,53.069799,8.598683
2934,Hubacker,['REGIONAL_TRAIN'],['TGO'],DE,BW,Europe/Berlin,48.507398,8.135691
2935,Hubertushöhe,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.23387,13.965151
2937,Huckstorf,['CITY_TRAIN'],['VVW'],DE,MV,Europe/Berlin,53.98448,12.116026
2938,Hude,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']","['VBN', 'IAM']",DE,NI,Europe/Berlin,53.109429,8.460956
294,Bad Kösen,"['REGIONAL_TRAIN', 'BUS']","['NASA', 'VMT', 'MDV']",DE,ST,Europe/Berlin,51.130742,11.718274
2940,Hufschlag,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,47.875599,12.664941
2941,Huglfing,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,47.776736,11.140552
2942,Hugstetten,['CITY_TRAIN'],['RVF'],DE,BW,Europe/Berlin,48.048247,7.783929
2943,Hulb,['CITY_TRAIN'],['VVS'],DE,BW,Europe/Berlin,48.679267,8.982644
2944,Berlin Humboldthain,"['BUS', 'CITY_TRAIN']",['VBB'],DE,BE,Europe/Berlin,52.544795,13.379277
2945,Hofgeismar-Hümme,"['BUS', 'CITY_TRAIN']",['NVV'],DE,HE,Europe/Berlin,51.542923,9.401965
2948,Hundsgrün,"['REGIONAL_TRAIN', 'BUS']",[],DE,SN,Europe/Berlin,50.366256,12.211452
2949,Hünfeld,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'HIGH_SPEED_TRAIN']",['RMV'],DE,HE,Europe/Berlin,50.673271,9.762453
295,Bad Köstritz,"['REGIONAL_TRAIN', 'BUS']",['VMT'],DE,TH,Europe/Berlin,50.93159,12.028452
2950,Hungen,"['REGIONAL_TRAIN', 'BUS']",['RMV'],DE,HE,Europe/Berlin,50.478055,8.89279
2951,Huntlosen,"['REGIONAL_TRAIN', 'BUS']","['VBN', 'IAM']",DE,NI,Europe/Berlin,52.990817,8.26652
2953,Husum,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS', 'INTER_REGIONAL_TRAIN']",['SH'],DE,SH,Europe/Berlin,54.472271,9.055026
2954,Hüttengrund,['REGIONAL_TRAIN'],[],DE,TH,Europe/Berlin,50.381153,11.197711
2955,Huttenheim,['CITY_TRAIN'],"['VRN', 'KVV']",DE,BW,Europe/Berlin,49.197162,8.472636
2957,Siegen-Geisweid,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,50.915581,8.014352
2958,Hüttingen,"['REGIONAL_TRAIN', 'BUS']",['VRT'],DE,RP,Europe/Berlin,49.967418,6.585008
296,Bad Kreuznach,['REGIONAL_TRAIN'],['RNN'],DE,RP,Europe/Berlin,49.842399,7.866435
2960,Ibach,['REGIONAL_TRAIN'],['TGO'],DE,BW,Europe/Berlin,48.455116,8.162739
2961,Ibbenbüren,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,52.276867,7.721486
2962,Ichenhausen,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,48.370187,10.302138
2963,Icking,"['BUS', 'CITY_TRAIN']",['MVV'],DE,BY,Europe/Berlin,47.953249,11.436647
2964,Idar-Oberstein,"['REGIONAL_TRAIN', 'BUS']",['RNN'],DE,RP,Europe/Berlin,49.699368,7.32123
2965,Idstein(Taunus),['REGIONAL_TRAIN'],['RMV'],DE,HE,Europe/Berlin,50.21599,8.257264
2966,Igel,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN']",['VRT'],DE,RP,Europe/Berlin,49.70737,6.550679
2967,Igensdorf,['REGIONAL_TRAIN'],['VGN'],DE,BY,Europe/Berlin,49.620122,11.23453
2968,Igersheim,"['REGIONAL_TRAIN', 'BUS']",['VRN'],DE,BW,Europe/Berlin,49.493425,9.812535
2969,Ihringen,['CITY_TRAIN'],['RVF'],DE,BW,Europe/Berlin,48.04041,7.648777
297,Bad Krozingen,"['REGIONAL_TRAIN', 'CITY_TRAIN']",['RVF'],DE,BW,Europe/Berlin,47.919721,7.697632
2970,Fuldatal-Ihringshausen,['REGIONAL_TRAIN'],['NVV'],DE,HE,Europe/Berlin,51.348591,9.52607
2971,Ilberstedt,"['REGIONAL_TRAIN', 'BUS']","['NASA', 'MAR']",DE,ST,Europe/Berlin,51.8065583,11.6473746
2972,Illertissen,"['REGIONAL_TRAIN', 'BUS']",['DING'],DE,BY,Europe/Berlin,48.222828,10.099942
2973,Illesheim,"['REGIONAL_TRAIN', 'BUS']",['VGN'],DE,BY,Europe/Berlin,49.479731,10.382648
2974,Illingen(Saar),['REGIONAL_TRAIN'],['SAARVV'],DE,SL,Europe/Berlin,49.376422,7.048966
2975,Illingen(Württ),['REGIONAL_TRAIN'],['VPE'],DE,BW,Europe/Berlin,48.956588,8.921162
2976,Ilmenau,['REGIONAL_TRAIN'],[],DE,TH,Europe/Berlin,50.684481,10.923086
2978,Ilmenau Pörlitzer Höhe,['REGIONAL_TRAIN'],[],DE,TH,Europe/Berlin,50.6946941,10.9228912
2979,Ilmenau-Roda,['REGIONAL_TRAIN'],[],DE,TH,Europe/Berlin,50.697228,10.889111
298,Bad Langensalza,"['REGIONAL_TRAIN', 'BUS']",['VMT'],DE,TH,Europe/Berlin,51.101701,10.640671
2980,Ilsenburg,['REGIONAL_TRAIN'],['NASA'],DE,ST,Europe/Berlin,51.869004,10.683103
2981,Immelborn,"['REGIONAL_TRAIN', 'BUS']",[],DE,TH,Europe/Berlin,50.7932712,10.280478
2982,Immendingen,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN']",['MOVE'],DE,BW,Europe/Berlin,47.936007,8.729536
2983,Immenhausen,['CITY_TRAIN'],['NVV'],DE,HE,Europe/Berlin,51.426902,9.464397
2984,Immenreuth,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,49.911344,11.86966
2985,Immensen-Arpke,['REGIONAL_TRAIN'],"['IAM', 'GVH']",DE,NI,Europe/Berlin,52.391356,10.084479
2986,Immenstadt,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,47.559203,10.213999
2987,Imsweiler,['REGIONAL_TRAIN'],['VRN'],DE,RP,Europe/Berlin,49.597656,7.807976
2988,Markt Indersdorf,['CITY_TRAIN'],['MVV'],DE,BY,Europe/Berlin,48.352391,11.378446
2991,Ingelbach,"['REGIONAL_TRAIN', 'BUS']","['VRM', 'VRS']",DE,RP,Europe/Berlin,50.688903,7.726214
2992,Ingelheim,['REGIONAL_TRAIN'],['RNN'],DE,RP,Europe/Berlin,49.976277,8.053716
2993,Ingolstadt Hbf,"['REGIONAL_TRAIN', 'BUS', 'HIGH_SPEED_TRAIN']",[],DE,BY,Europe/Berlin,48.744541,11.437337
2994,Ingolstadt Nord,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,48.7736902,11.4322495
2996,Aukrug,['REGIONAL_TRAIN'],['SH'],DE,SH,Europe/Berlin,54.082398,9.78581
2997,Inningen,"['REGIONAL_TRAIN', 'BUS']",['AVV'],DE,BY,Europe/Berlin,48.311336,10.868876
2998,Berlin Innsbrucker Platz,['CITY_TRAIN'],['VBB'],DE,BE,Europe/Berlin,52.478084,13.342197
2999,Insheim,['REGIONAL_TRAIN'],"['VRN', 'KVV']",DE,RP,Europe/Berlin,49.1571657,8.15213442
3,Aachen West,"['REGIONAL_TRAIN', 'BUS']","['AAV', 'VRS']",DE,NW,Europe/Berlin,50.78036,6.070715
30,Ahrensfelde Nord,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.590685,13.581985
3001,Iphofen,['REGIONAL_TRAIN'],['VGN'],DE,BY,Europe/Berlin,49.6967974,10.2551472
3002,Ipsheim,"['REGIONAL_TRAIN', 'BUS']",['VGN'],DE,BY,Europe/Berlin,49.5255,10.485764
3003,Irfersgrün,"['REGIONAL_TRAIN', 'BUS']",[],DE,SN,Europe/Berlin,50.608547,12.409602
3004,Irrenlohe,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,49.362776,12.101376
3005,Hamburg-Iserbrook,['CITY_TRAIN'],"['IAM', 'SH', 'HVV']",DE,HH,Europe/Berlin,53.576606,9.814049
3006,Iserlohn,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.373294,7.691608
3008,Iserlohnerheide,['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,51.399861,7.69221
