id,description,operatorname,state,stateExplanation,type
4280,zu Gleis 9/11/12,DB Station&Service,ACTIVE,available,ELEVATOR
4280,zu Gleis 4/8,DB Station&Service,ACTIVE,available,ELEVATOR
4280,zu Gleis 9/11/12,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 9/11/12,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 4/8,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 4/8,DB Station&Service,ACTIVE,available,ESCALATOR
4284,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4284,zu Gleis 1/4,DB Station&Service,ACTIVE,available,ELEVATOR
4287,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
430,zu Gleis 4 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
430,zu Gleis 3/5 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
430,zu Gleis 3/5 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
430,zu Gleis 4 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
4306,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4306,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4309,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
4309,von Gleis 2/3 zu PU,DB Station&Service,ACTIVE,available,ELEVATOR
4309,von Gleis 1 zu PU,DB Station&Service,ACTIVE,available,ELEVATOR
4316,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4316,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4317,zu Gleis 4,DB Station&Service,ACTIVE,available,ELEVATOR
4317,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4317,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
432,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
432,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4321,zu Bahnsteig 1 und Überführung,DB Station&Service,ACTIVE,available,ELEVATOR
4322,zu Bstg. 1 und Überführung,DB Station&Service,INACTIVE,under construction,ELEVATOR
4322,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4329,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4329,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4345,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4345,zu Gleis 1/2 (S-Bahn),Eisbrecher_Schindler,ACTIVE,available,ESCALATOR
4349,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4351,PU zu S-Bahn-Bstg.,DB Station&Service,UNKNOWN,monitoring disrupted,ELEVATOR
4357,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4357,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4361,Personenaufzug zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4361,Aufzug zum Personentunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4361,Personenaufzug zu Gleis 7/8,DB Station&Service,ACTIVE,available,ELEVATOR
4362,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4362,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4363,Gleis 3/4 - PU,DB Station&Service,ACTIVE,available,ELEVATOR
4363,Ausgang Süd - PU,DB Station&Service,ACTIVE,available,ELEVATOR
4363,Gleis 1/2 - PU,DB Station&Service,ACTIVE,available,ELEVATOR
4363,Ausgang Stadviertel - PU,DB Station&Service,INACTIVE,not available,ELEVATOR
437,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4372,Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4372,Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4389,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
439,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
439,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
439,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
439,Empfangsgebäude,DB Station&Service,ACTIVE,available,ELEVATOR
4396,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4396,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4403,zu Gleis 4,DB Station&Service,ACTIVE,available,ELEVATOR
4403,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4403,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4414,zu Bstg. 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4414,zur Überführung,DB Station&Service,ACTIVE,available,ELEVATOR
4416,zu Gleis 2/4,DB Station&Service,ACTIVE,available,ELEVATOR
4416,zu Gleis 1,DB Station&Service,UNKNOWN,monitoring not available,ELEVATOR
4416,zu Gleis 5,DB Station&Service,ACTIVE,available,ELEVATOR
4420,Verwaltungsgebäude,DB Station&Service,ACTIVE,available,ELEVATOR
4420,zu Gleis 5/6 Abschnitt C,DB Station&Service,ACTIVE,available,ELEVATOR
4420,zu Gleis 3/4 Abschnitt E,DB Station&Service,ACTIVE,available,ELEVATOR
4420,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4426,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4426,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4426,zu Gleis 25,DB Station&Service,ACTIVE,available,ELEVATOR
4426,zu Gleis 26/27,DB Station&Service,ACTIVE,available,ELEVATOR
443,zu Gleis 9/10,DB Station&Service,ACTIVE,available,ELEVATOR
443,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
443,zu Gleis 3-8,DB Station&Service,ACTIVE,available,ELEVATOR
4440,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4440,zu Gleis 7/8,DB Station&Service,ACTIVE,available,ELEVATOR
4440,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4440,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4446,zu Ausgang Kampehler Str,DB Station&Service,ACTIVE,available,ELEVATOR
4446,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4446,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4451,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4451,zum Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4454,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4454,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
4454,zu Gleis 1/1a,DB Station&Service,ACTIVE,available,ELEVATOR
4455,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4460,Gleis 3/4 - PU,DB Station&Service,ACTIVE,available,ELEVATOR
4464,BSTG. 1 - GL.1/14/15,DB Station&Service,ACTIVE,available,ELEVATOR
4464,BSTG. 2 - GL.2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4465,Fahrtreppe zum Bahnsteig,Eisbrecher_Schindler,ACTIVE,available,ESCALATOR
4467,zu Gleis 1,DB Station&Service,INACTIVE,under construction,ELEVATOR
4467,zu Gleis 2,DB Station&Service,INACTIVE,under construction,ELEVATOR
4469,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4471,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
4471,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4471,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4472,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4472,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4472,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4483,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4483,zu Gleis 3,DB Station&Service,ACTIVE,available,ELEVATOR
4484,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4484,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
45,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
45,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4502,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4503,BSTG. 1 - GL.2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4503,BSTG. 2 - GL.4/5,DB Station&Service,ACTIVE,available,ELEVATOR
4513,zu Bahnsteig 1,DB Station&Service,ACTIVE,available,ELEVATOR
4513,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4513,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4544,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4544,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4548,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4548,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4548,zu Gleis 5/6,DB Station&Service,ACTIVE,available,ELEVATOR
4548,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4551,zu Gleis 2,DB Station&Service,ACTIVE,available,ELEVATOR
4551,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4552,Gleis 1 zu Unterführung Gl. 2,DB Station&Service,ACTIVE,available,ELEVATOR
4552,Gleis 2 zum Ausgang/Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4557,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4557,von Gleis 1/2 zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4576,zu Gleis 1/1a,DB Station&Service,ACTIVE,available,ELEVATOR
4576,zu Gleis 2/2a/3,DB Station&Service,ACTIVE,available,ELEVATOR
4583,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4587,,DB Station&Service,ACTIVE,available,ELEVATOR
4587,zu Gleis 1/11,DB Station&Service,ACTIVE,available,ELEVATOR
4593,UG-EG-1.OG-2.OG (DBInfo recht),DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 18/19 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,UG-EG-1.OG-2.OG (DBInfo links),DB Station&Service,ACTIVE,available,ELEVATOR
4593,von Passage zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von Passage zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu Basement,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,ACTIVE,available,ESCALATOR
4593,zu Gleis 2/3 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
4593,zu Gleis 2/3 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,UNKNOWN,monitoring disrupted,ESCALATOR
4593,von EG zu 1.OG,DB Station&Service,UNKNOWN,monitoring disrupted,ESCALATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 6/7 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 12/13 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 4/5,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 22/23 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 14/15 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 8/9,DB Station&Service,ACTIVE,available,ESCALATOR
4593,zu Gleis 6/7,DB Station&Service,ACTIVE,available,ESCALATOR
4593,zu Gleis 2/3 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 8/9,DB Station&Service,ACTIVE,available,ESCALATOR
4593,zu Gleis 6/7,DB Station&Service,INACTIVE,under maintenance,ESCALATOR
4593,zu Gleis 16/17 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 20/21 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4593,zu Gleis 8/9 Abschnitt F,DB Station&Service,ACTIVE,available,ELEVATOR
4596,zu Gleis 1 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4597,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ESCALATOR
4597,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4598,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4599,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4599,zu Gleis 2/3 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4601,zu Gleis 1/2 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4602,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4606,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4608,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4609,zu Gleis 1 (S-Bahn),DB Station&Service,ACTIVE,available,ELEVATOR
4611,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4612,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4612,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4615,zu Gleis 2,DB Station&Service,INACTIVE,under construction,ELEVATOR
4615,zu Gl. 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4632,zu Gleis 3,DB Station&Service,ACTIVE,available,ELEVATOR
4632,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4638,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4638,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ELEVATOR
4648,zu Gleis 6/7 Abschnitt B/C,DB Station&Service,ACTIVE,available,ELEVATOR
4648,zu Gleis 9/10 Abschnitt C/D,DB Station&Service,ACTIVE,available,ELEVATOR
4648,zu Gleis 13/14 Abschnitt B/C,DB Station&Service,ACTIVE,available,ELEVATOR
4648,zu Gleis 15/16,DB Station&Service,ACTIVE,available,ELEVATOR
4648,zu Gleis 11/12,DB Station&Service,ACTIVE,available,ELEVATOR
4648,von Empfangshalle zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4657,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4657,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4658,Gleis 2 bei P+R,DB Station&Service,ACTIVE,available,ELEVATOR
4658,"Mittelbahnsteig, Gleis 4/5",DB Station&Service,ACTIVE,available,ELEVATOR
4670,zu Gleis 1,DB Station&Service,ACTIVE,available,ELEVATOR
4670,zum Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4688,von EG zu Tunnel,DB Station&Service,ACTIVE,available,ELEVATOR
4688,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4688,zu Gleis 3,DB Station&Service,ACTIVE,available,ELEVATOR
47,zu Bstg 2,DB Station&Service,ACTIVE,available,ELEVATOR
4702,zu Gleis 2/3,DB Station&Service,INACTIVE,not available,ELEVATOR
4703,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
